Starting Wi-Fi RTT Ranging...
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 190 mm, StdDev: 844 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 5478 mm, StdDev: 617 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5092 mm, StdDev: 324 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 190 mm, StdDev: 844 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 5478 mm, StdDev: 617 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5092 mm, StdDev: 324 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -66, Distance: 2664 mm, StdDev: 555 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 1042 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 1042 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5244 mm, StdDev: 857 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 1042 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5244 mm, StdDev: 857 mm, timeStemp: 6672658132, mcOn: true
