Starting Wi-Fi RTT Ranging...
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4672 mm, StdDev: 638 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 6694 mm, StdDev: 754 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10512 mm, StdDev: 158 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4672 mm, StdDev: 638 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -49, Distance: -308 mm, StdDev: 336 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 755 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 755 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10591 mm, StdDev: 104 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 755 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10591 mm, StdDev: 104 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -58, Distance: 4643 mm, StdDev: 726 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 755 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10591 mm, StdDev: 104 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -58, Distance: 4643 mm, StdDev: 726 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.350, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -426 mm, StdDev: 378 mm, timeStemp: 3546258988, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6547 mm, StdDev: 947 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6547 mm, StdDev: 947 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10278 mm, StdDev: 159 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6547 mm, StdDev: 947 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10278 mm, StdDev: 159 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -51, Distance: 4643 mm, StdDev: 650 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6547 mm, StdDev: 947 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10278 mm, StdDev: 159 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -51, Distance: 4643 mm, StdDev: 650 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.434, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -582 mm, StdDev: 380 mm, timeStemp: 3546259073, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 699 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 699 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10513 mm, StdDev: 137 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 699 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10513 mm, StdDev: 137 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 4585 mm, StdDev: 754 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 6577 mm, StdDev: 699 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10513 mm, StdDev: 137 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 4585 mm, StdDev: 754 mm, timeStemp: 3546259193, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.554, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -387 mm, StdDev: 237 mm, timeStemp: 3546259193, mcOn: true
