Starting Wi-Fi RTT Ranging...
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5649 mm, StdDev: 1502 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 14 mm, StdDev: 229 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5649 mm, StdDev: 1502 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 5288 mm, StdDev: 1191 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 14 mm, StdDev: 229 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5649 mm, StdDev: 1502 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 5288 mm, StdDev: 1191 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -71, Distance: 3665 mm, StdDev: 2502 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 115 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 115 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 6450 mm, StdDev: 1312 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 115 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 6450 mm, StdDev: 1312 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 5171 mm, StdDev: 2233 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 115 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 6450 mm, StdDev: 1312 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 5171 mm, StdDev: 2233 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.953, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -64, Distance: 2698 mm, StdDev: 830 mm, timeStemp: 3546644592, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -414 mm, StdDev: 424 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -414 mm, StdDev: 424 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5786 mm, StdDev: 1081 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -414 mm, StdDev: 424 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5786 mm, StdDev: 1081 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 5405 mm, StdDev: 1280 mm, timeStemp: 3546644694, mcOn: true
