Starting Wi-Fi RTT Ranging...
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4227 mm, StdDev: 447 mm, timeStemp: 4938590317, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3589 mm, StdDev: 631 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3589 mm, StdDev: 631 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3174 mm, StdDev: 1354 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3589 mm, StdDev: 631 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3174 mm, StdDev: 1354 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4438 mm, StdDev: 125 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3589 mm, StdDev: 631 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3174 mm, StdDev: 1354 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4438 mm, StdDev: 125 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.810, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4149 mm, StdDev: 452 mm, timeStemp: 4938590448, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3559 mm, StdDev: 667 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3559 mm, StdDev: 667 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 3320 mm, StdDev: 1421 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3559 mm, StdDev: 667 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 3320 mm, StdDev: 1421 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4467 mm, StdDev: 139 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3559 mm, StdDev: 667 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 3320 mm, StdDev: 1421 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 4467 mm, StdDev: 139 mm, timeStemp: 4938590589, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.971, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4266 mm, StdDev: 403 mm, timeStemp: 4938590589, mcOn: true
