Label,X Position (meters),Y Position (meters),AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP5_Distance (mm),AP6_Distance (mm),AP7_Distance (mm),AP8_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP5_Rssi,AP6_Rssi,AP7_Rssi,AP8_Rssi
0,-0.41,15.69,45622.95,20476.95,48673.65,41477.85,55073.85,46930.35,31211.1,47926.8,-67,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45621.9,20477.1,48677.25,41476.8,55899.75,46927.95,31210.5,47926.95,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45621.3,20477.25,48679.05,41476.2,55419.3,46926.75,31210.2,47926.95,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45620.4,20477.55,48682.65,41475.3,53567.4,46924.5,31209.75,47927.1,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45619.95,20477.7,48684.45,41474.7,55403.7,46923.3,31209.3,47927.25,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45619.5,20477.85,48686.25,41474.4,54288.9,46922.1,31209,47927.25,-67,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45618.9,20478,48688.05,41473.8,55229.7,46920.9,31208.85,47927.4,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45618.45,20478.15,48689.85,41473.35,55809.45,46919.7,31208.55,47927.4,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45617.4,20478.45,48693.45,41472.3,54244.2,46917.45,31207.95,47927.55,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45616.5,20478.75,48697.05,41471.4,55782.9,46915.05,31207.5,47927.7,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45616.05,20478.9,48698.85,41470.95,55754.55,46913.7,31207.2,47927.85,-67,-37,-72,-69,-79,-64,-54,-72
