timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
725635222,6-6,2938.532782653588,2819.1867261020307,4222.244002041858,535.8778443113772,-60.0,-66.0,-54.0,-55.0
725635237,6-6,3178.801020408163,2580.8201995012478,4309.944865698496,878.2669404517454,-59.0,-66.0,-57.0,-50.0
725635252,6-6,3108.9492346938778,2722.698898408813,4169.702888226913,545.680487804878,-58.0,-67.0,-56.0,-55.0
725635266,6-6,3010.744119927629,2710.754326102852,4682.119914882965,422.1576354679803,-58.0,-66.0,-55.0,-55.0
725635281,6-6,2845.368255631221,2773.173203410475,4444.16657831964,677.9705719044975,-59.0,-66.0,-52.0,-53.0
725635295,6-6,2947.846541213888,2470.568493150685,4213.358984426122,526.4211764705883,-59.0,-66.0,-57.0,-55.0
725635309,6-6,2919.2191601049867,2648.701373283396,4342.499540622129,563.4476088124665,-59.0,-66.0,-55.0,-50.0
725635323,6-6,2827.5939614783965,2621.860850222442,4385.09869694233,562.4492753623189,-58.0,-66.0,-57.0,-53.0
725635337,6-6,3074.3818369453043,2759.6704572376216,4583.2944487081095,527.9740412979351,-59.0,-66.0,-57.0,-55.0
725635352,6-6,2917.687565582372,2760.978667930789,4219.023914167528,530.1635071090047,-59.0,-66.0,-57.0,-55.0
